# s t p1 p2 p3 q1 q2 q3 r
12 90 0.333361 0.333312 0.333327 0.333312 0.333361 0.333327 0.999827
12 93 0.333353 0.333318 0.333329 0.333318 0.333353 0.333329 0.999878
12 96 0.333347 0.333323 0.333330 0.333323 0.333347 0.333330 0.999914
12 99 0.333343 0.333326 0.333331 0.333326 0.333343 0.333331 0.999940

15 3 0.328605 0.348748 0.322647 0.348748 0.328605 0.322647 0.103428
15 6 0.302558 0.373920 0.323522 0.373920 0.302558 0.323522 0.185313
15 9 0.307916 0.377595 0.314489 0.377595 0.307916 0.314489 0.304677
15 12 0.294885 0.394576 0.310538 0.394576 0.294885 0.310538 0.403100
15 15 0.299703 0.399352 0.300944 0.299703 0.399352 0.300944 0.500000
15 18 0.389039 0.301504 0.309457 0.301504 0.389039 0.309457 0.577810
15 21 0.375621 0.305273 0.319106 0.305273 0.375621 0.319106 0.657651
15 24 0.370022 0.308831 0.321147 0.308831 0.370022 0.321147 0.721345
15 27 0.360911 0.313246 0.325843 0.313246 0.360911 0.325843 0.779834
15 30 0.356112 0.316557 0.327332 0.316557 0.356112 0.327332 0.825884
15 33 0.350426 0.320091 0.329482 0.320091 0.350426 0.329482 0.865183
15 36 0.346975 0.322680 0.330345 0.322680 0.346975 0.330345 0.895723
15 39 0.343573 0.325110 0.331318 0.325110 0.343573 0.331318 0.920523
15 42 0.341307 0.326904 0.331790 0.326904 0.341307 0.331790 0.939562
15 45 0.339311 0.328445 0.332245 0.328445 0.339311 0.332245 0.954510
15 48 0.337905 0.329592 0.332503 0.329592 0.337905 0.332503 0.965858
15 51 0.336749 0.330522 0.332730 0.330522 0.336749 0.332730 0.974562
15 54 0.335910 0.331215 0.332875 0.331215 0.335910 0.332875 0.981104
15 57 0.335249 0.331757 0.332994 0.331757 0.335249 0.332994 0.986039
15 60 0.334763 0.332161 0.333076 0.332161 0.334763 0.333076 0.989716
15 63 0.334390 0.332468 0.333142 0.332468 0.334390 0.333142 0.992456
15 66 0.334115 0.332696 0.333189 0.332696 0.334115 0.333189 0.994480
15 69 0.333908 0.332866 0.333226 0.332866 0.333908 0.333226 0.995975
15 72 0.333755 0.332992 0.333253 0.332992 0.333755 0.333253 0.997073
15 75 0.333642 0.333085 0.333274 0.333085 0.333642 0.333274 0.997877
15 78 0.333558 0.333153 0.333289 0.333153 0.333558 0.333289 0.998463
15 81 0.333497 0.333202 0.333301 0.333202 0.333497 0.333301 0.998891
15 84 0.333452 0.333239 0.333309 0.333239 0.333452 0.333309 0.999201
15 87 0.333419 0.333265 0.333316 0.333265 0.333419 0.333316 0.999425
15 90 0.333395 0.333284 0.333320 0.333284 0.333395 0.333320 0.999588
15 93 0.333378 0.333298 0.333324 0.333298 0.333378 0.333324 0.999704
15 96 0.333365 0.333308 0.333326 0.333308 0.333365 0.333326 0.999789
15 99 0.333356 0.333315 0.333328 0.333315 0.333356 0.333328 0.999849

18 3 0.328258 0.347160 0.324581 0.347160 0.328258 0.324581 0.071756
18 6 0.309586 0.365438 0.324976 0.365438 0.309586 0.324976 0.136098
18 9 0.310873 0.372652 0.316476 0.372652 0.310873 0.316476 0.236811
18 12 0.299776 0.384840 0.315384 0.384840 0.299776 0.315384 0.326073
18 15 0.301504 0.389039 0.309457 0.389039 0.301504 0.309457 0.422190
18 18 0.296369 0.399589 0.304042 0.296369 0.399589 0.304042 0.500000
18 21 0.383860 0.299982 0.316158 0.299982 0.383860 0.316158 0.576229
18 24 0.376281 0.303640 0.320080 0.303640 0.376281 0.320080 0.644905
18 27 0.368059 0.308074 0.323866 0.308074 0.368059 0.323866 0.708700
18 30 0.362204 0.311748 0.326048 0.311748 0.362204 0.326048 0.762747
18 33 0.356075 0.315602 0.328324 0.315602 0.356075 0.328324 0.810179
18 36 0.351788 0.318694 0.329519 0.318694 0.351788 0.329519 0.848996
18 39 0.347687 0.321624 0.330688 0.321624 0.347687 0.330688 0.881521
18 42 0.344743 0.323933 0.331325 0.323933 0.344743 0.331325 0.907514
18 45 0.342138 0.325961 0.331902 0.325961 0.342138 0.331902 0.928550
18 48 0.340215 0.327543 0.332242 0.327543 0.340215 0.332242 0.945059
18 51 0.338607 0.328861 0.332532 0.328861 0.338607 0.332532 0.958083
18 54 0.337400 0.329880 0.332719 0.329880 0.337400 0.332719 0.968156
18 57 0.336428 0.330699 0.332873 0.330699 0.336428 0.332873 0.975954
18 60 0.335693 0.331327 0.332979 0.331327 0.335693 0.332979 0.981911
18 63 0.335116 0.331819 0.333065 0.331819 0.335116 0.333065 0.986458
18 66 0.334680 0.332193 0.333127 0.332193 0.334680 0.333127 0.989897
18 69 0.334344 0.332480 0.333177 0.332480 0.334344 0.333177 0.992492
18 72 0.334090 0.332696 0.333213 0.332696 0.334090 0.333213 0.994437
18 75 0.333897 0.332860 0.333242 0.332860 0.333897 0.333242 0.995892
18 78 0.333753 0.332983 0.333264 0.332983 0.333753 0.333264 0.996975
18 81 0.333644 0.333075 0.333281 0.333075 0.333644 0.333281 0.997779
18 84 0.333563 0.333143 0.333294 0.333143 0.333563 0.333294 0.998373
18 87 0.333502 0.333194 0.333304 0.333194 0.333502 0.333304 0.998811
18 90 0.333458 0.333231 0.333311 0.333231 0.333458 0.333311 0.999133
18 93 0.333424 0.333259 0.333317 0.333259 0.333424 0.333317 0.999369
18 96 0.333400 0.333279 0.333321 0.333279 0.333400 0.333321 0.999542
18 99 0.333382 0.333294 0.333324 0.333294 0.333382 0.333324 0.999668

21 3 0.330285 0.340622 0.329093 0.340622 0.330285 0.329093 0.046521
21 6 0.317799 0.352099 0.330102 0.352099 0.317799 0.330102 0.093805
21 9 0.316264 0.358895 0.324842 0.358895 0.316264 0.324842 0.174344
21 12 0.306268 0.370915 0.322817 0.370915 0.306268 0.322817 0.253747
21 15 0.305273 0.375621 0.319106 0.375621 0.305273 0.319106 0.342349
21 18 0.299982 0.383860 0.316158 0.383860 0.299982 0.316158 0.423771
21 21 0.300028 0.390167 0.309805 0.300028 0.390167 0.309805 0.500000
21 24 0.380748 0.302692 0.316560 0.302692 0.380748 0.316560 0.567309
21 27 0.372065 0.305991 0.321944 0.305991 0.372065 0.321944 0.635087
21 30 0.367163 0.309197 0.323640 0.309197 0.367163 0.323640 0.693883
21 33 0.360619 0.312746 0.326634 0.312746 0.360619 0.326634 0.748201
21 36 0.356252 0.315767 0.327981 0.315767 0.356252 0.327981 0.794130
21 39 0.351624 0.318803 0.329573 0.318803 0.351624 0.329573 0.834179
21 42 0.348286 0.321300 0.330414 0.321300 0.348286 0.330414 0.867242
21 45 0.345162 0.323603 0.331235 0.323603 0.345162 0.331235 0.894911
21 48 0.342813 0.325469 0.331718 0.325469 0.342813 0.331718 0.917286
21 51 0.340771 0.327086 0.332143 0.327086 0.340771 0.332143 0.935460
21 54 0.339203 0.328381 0.332416 0.328381 0.339203 0.332416 0.949901
21 57 0.337901 0.329456 0.332643 0.329456 0.337901 0.332643 0.961374
21 60 0.336893 0.330308 0.332799 0.330308 0.336893 0.332799 0.970358
21 63 0.336081 0.330993 0.332926 0.330993 0.336081 0.332926 0.977375
21 66 0.335452 0.331530 0.333018 0.331530 0.335452 0.333018 0.982802
21 69 0.334956 0.331954 0.333091 0.331954 0.334956 0.333091 0.986986
21 72 0.334573 0.332282 0.333146 0.332282 0.334573 0.333146 0.990188
21 75 0.334275 0.332536 0.333189 0.332536 0.334275 0.333189 0.992630
21 78 0.334047 0.332731 0.333222 0.332731 0.334047 0.333222 0.994482
21 81 0.333872 0.332880 0.333248 0.332880 0.333872 0.333248 0.995882
21 84 0.333738 0.332994 0.333268 0.332994 0.333738 0.333268 0.996936
21 87 0.333637 0.333080 0.333284 0.333080 0.333637 0.333284 0.997727
21 90 0.333560 0.333144 0.333295 0.333144 0.333560 0.333295 0.998317
21 93 0.333502 0.333193 0.333305 0.333193 0.333502 0.333305 0.998758
21 96 0.333459 0.333230 0.333312 0.333230 0.333459 0.333312 0.999085
21 99 0.333426 0.333257 0.333317 0.333257 0.333426 0.333317 0.999328

24 3 0.330780 0.339081 0.330139 0.339081 0.330780 0.330139 0.031732
24 6 0.321824 0.347651 0.330525 0.347651 0.321824 0.330525 0.067209
24 9 0.319292 0.354368 0.326340 0.354368 0.319292 0.326340 0.131291
24 12 0.310905 0.363963 0.325132 0.363963 0.310905 0.325132 0.198630
24 15 0.308831 0.370022 0.321147 0.370022 0.308831 0.321147 0.278655
24 18 0.303640 0.376281 0.320080 0.376281 0.303640 0.320080 0.355095
24 21 0.302692 0.380748 0.316560 0.380748 0.302692 0.316560 0.432691
24 24 0.299647 0.388071 0.312281 0.299647 0.388071 0.312281 0.500000
24 27 0.377419 0.302941 0.319641 0.302941 0.377419 0.319641 0.564887
24 30 0.371291 0.305953 0.322756 0.305953 0.371291 0.322756 0.626667
24 33 0.365647 0.309342 0.325011 0.309342 0.365647 0.325011 0.684237
24 36 0.360703 0.312423 0.326874 0.312423 0.360703 0.326874 0.735712
24 39 0.355974 0.315529 0.328497 0.315529 0.355974 0.328497 0.781656
24 42 0.352139 0.318250 0.329612 0.318250 0.352139 0.329612 0.821152
24 45 0.348623 0.320801 0.330576 0.320801 0.348623 0.330576 0.855093
24 48 0.345813 0.322969 0.331218 0.322969 0.345813 0.331218 0.883447
24 51 0.343353 0.324893 0.331754 0.324893 0.343353 0.331754 0.907083
24 54 0.341391 0.326492 0.332117 0.326492 0.341391 0.332117 0.926393
24 57 0.339736 0.327853 0.332411 0.327853 0.339736 0.332411 0.942109
